Date                Time                Instance                                Target_QoS          #_Patient           #_Act               #_Res               RelaxTW             RDelay              #P_Init             QoS_Init            #A_Init             #P_Final            QoS_Final           #A_Final            #Late               #OnTime             #NoShow             #ReSchd             #Failed             Av_RCPU             Av_DT               #A_DT               #A_DR               
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 19                  100.00              137                 1                   19                  1                   0                   0                   0.00                0.00                0                   3                   
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 20                  100.00              146                 2                   18                  2                   2                   0                   0.50                34.11               84                  60                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 20                  100.00              146                 1                   19                  1                   1                   0                   0.00                22.05               68                  66                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 19                  100.00              139                 3                   17                  3                   2                   0                   0.00                26.15               67                  66                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 19                  100.00              139                 1                   58                  2                   1                   0                   0.00                24.86               60                  48                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 20                  100.00              146                 1                   19                  1                   1                   0                   0.00                12.81               41                  31                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 18                  100.00              129                 4                   15                  5                   3                   0                   0.00                37.36               71                  61                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 17                  100.00              123                 2                   16                  4                   1                   0                   0.00                20.16               51                  60                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 20                  100.00              146                 2                   18                  2                   2                   0                   0.00                25.14               67                  58                  
19/10/2024          17:50               CP_20_0_FQoS                            100                 20                  146                 175                 1                   15.00               20                  100.00              146                 20                  100.00              146                 1                   19                  1                   1                   0                   0.00                10.92               40                  37                  
