Date                Time                Instance                                Target_QoS          #_Patient           #_Act               #_Res               RelaxTW             RDelay              #P_Init             QoS_Init            #A_Init             #P_Final            QoS_Final           #A_Final            #Late               #OnTime             #NoShow             #ReSchd             #Failed             Av_RCPU             Av_DT               #A_DT               #A_DR               
20/10/2024          20:40               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 20                  76.20               146                 3                   17                  3                   3                   0                   60.00               47.19               108                 66                  
20/10/2024          20:43               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 19                  80.96               142                 3                   16                  4                   3                   0                   60.00               44.15               97                  66                  
20/10/2024          20:45               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 19                  73.92               137                 3                   17                  3                   2                   3                   24.00               41.53               91                  62                  
20/10/2024          20:46               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 17                  80.96               126                 4                   16                  4                   1                   9                   6.00                42.06               83                  61                  
20/10/2024          20:47               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 20                  73.92               146                 1                   19                  1                   1                   0                   60.00               38.39               91                  61                  
20/10/2024          20:49               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 19                  72.86               142                 4                   16                  4                   3                   1                   31.75               41.37               101                 57                  
20/10/2024          20:51               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 20                  80.96               146                 2                   18                  2                   2                   0                   60.00               40.96               98                  62                  
20/10/2024          20:55               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 20                  80.96               146                 4                   16                  4                   4                   0                   50.25               38.87               101                 66                  
20/10/2024          20:56               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 19                  73.92               140                 2                   57                  3                   2                   0                   36.00               43.89               99                  57                  
20/10/2024          20:57               CP_20_0_RQoS                            50                  20                  146                 175                 1                   15.00               20                  50.00               146                 19                  73.92               139                 2                   18                  2                   1                   1                   30.00               35.04               79                  56                  
20/10/2024          21:00               CP_30_5_RQoS                            50                  30                  223                 175                 1                   15.00               30                  56.08               223                 29                  56.01               216                 4                   26                  4                   3                   3                   30.00               36.67               156                 98                  
